ipu_country,wpei_country,ipu_r2,wpei_r2,ipu_tmid,wpei_tmid,ipu_n,wpei_n
Sierra Leone,Sierra Leone,0.8724528950812427,0.9765530167451656,2022.4849347428922,2003.990555090008,26,82
Singapore,Singapore,0.9139148567913836,0.954969150678341,2001.2881316092707,1966.6964106768276,29,124
Slovak Republic,Slovakia,0.749512086240294,0.8917054368633264,2048.559028471225,2008.1971870436037,29,185
Slovenia,Slovenia,0.8850838184651807,0.9816691736227224,2009.9979609130417,1967.8229481679907,28,161
Solomon Islands,Solomon Islands,0.8797635631241375,0.9303878941818916,2018.9859402530776,2038.5804910541128,27,126
South Africa,South Africa,0.9072454856944431,0.9862115356417804,2008.284847308417,1993.2460465978536,29,123
South Sudan,South Sudan,0.9187856059263986,0.8611297018341807,2020.2984238202907,2031.727550813256,15,173
Spain,Spain,0.9108140123728612,0.9774026869256182,1989.1371624495755,1976.8734786834725,29,149
Sri Lanka,Sri Lanka,0.81550141771722,0.9107976595237772,2023.5837400045061,1946.4635383800955,27,126
Sudan,Sudan,0.9646586626803535,0.7135955467704675,2006.248740341206,1970.2561114989617,20,173
Suriname,Suriname,0.5744245997123653,0.9733532079747323,2015.2906211102868,1995.384714408815,28,126
Sweden,Sweden,0.6510204717351715,0.9749909271804122,2000.1115437049527,1931.302172435028,29,126
Switzerland,Switzerland,0.9334080373964773,0.968864603623885,2017.9087353188606,1969.5798460811309,29,171
Syrian Arab Republic,Syria,0.6223046857247819,0.9542244954309752,2024.5646941229325,1948.029949662668,29,233
Tajikistan,Tajikistan,0.8258316516260839,0.879255215572746,1995.8005112486317,1954.57097068157,29,146
Tanzania,Tanzania,0.9617868990715173,0.9869672463390904,2003.8762492204903,1951.656310564858,27,73
Thailand,Thailand,0.5081025476356985,0.9850586273011734,2018.9477134825356,1984.2136372953137,29,237
Togo,Togo,0.9522126390928874,0.9782226837407592,2012.155086720027,1977.792309352108,28,109
Trinidad and Tobago,Trinidad and Tobago,0.901831862844525,0.9914276365819968,2006.1063053274024,1984.0408588686807,28,110
Tunisia,Tunisia,0.6909794230715668,0.973068547045875,2003.7023524111942,1967.6020455689925,29,237
Turkiye,Turkey,0.965938383377124,0.9743219713400454,2008.7649117178485,1922.0772932435832,28,235
Turkmenistan,Turkmenistan,0.4443579329099402,0.5929374694727394,2013.48566394904,1951.84531475351,26,118
Uganda,Uganda,0.9544628164131089,0.9636294174700956,2006.4648651630646,1992.8829815038484,29,126
Ukraine,Ukraine,0.9405883461165233,0.9500560451258584,2018.4529620965832,1995.0377425892664,27,80
United Arab Emirates,United Arab Emirates,0.8877090507320201,0.965756219564071,2019.3716548153038,2018.252149393506,29,55
United Kingdom,United Kingdom,0.9700290666681234,0.9793791761731476,2016.3633754256925,1964.839559409609,29,126
United States,United States,0.9680007111074422,0.9928296916429614,2019.8920313334586,1978.767446274164,28,126
Uruguay,Uruguay,0.9403098163443544,0.8355442431521457,2024.6770266473777,2001.3617731713407,29,131
Uzbekistan,Uzbekistan,0.7427979173825806,0.9534254893627482,2037.0018703258104,1927.749563081064,28,225
Vanuatu,Vanuatu,0.35349345533750376,0.9814460705553216,2010.9080857690858,1979.532916807224,27,120
"Venezuela, RB",Venezuela,0.776412255912075,0.9649568259358388,2051.8410192027186,1964.971792347468,25,157
Viet Nam,Vietnam,0.7594791736658869,0.962764900730268,2020.3993701737534,1993.4846317058157,29,50
World,World,0.9975552224789438,0.9937553238564996,2012.1005290813966,1994.7039073058777,29,237
Zambia,Zambia,0.5286291411602821,0.975783022410916,1981.7952563540234,1969.8724041277253,29,115
Zimbabwe,Zimbabwe,0.9239889584545573,0.9842830666710616,2012.009745724605,1979.539063259228,29,126
