peak_year,peak_val,trough_year,trough_val,drop,duration,rebounded,overshoot,recovery_time,max_after,max_after_year,ongoing,code,entity,region
2018,0.799,2024,0.707,0.09200000000000008,6,False,,,0.707,2024,True,BTN,Bhutan,Asia
2003,0.755,2009,0.698,0.05700000000000005,6,True,0.0010000000000000009,8.0,0.756,2017,False,BWA,Botswana,Africa
2017,0.756,2021,0.691,0.06500000000000006,4,False,,,0.711,2024,False,BWA,Botswana,Africa
2011,0.584,2013,0.521,0.06299999999999994,2,True,0.04200000000000004,8.0,0.626,2021,False,CAF,Central African Republic,Africa
2016,0.614,2020,0.563,0.051000000000000045,4,True,0.01200000000000001,1.0,0.626,2021,False,CAF,Central African Republic,Africa
2021,0.626,2024,0.581,0.04500000000000004,3,False,,,0.581,2024,True,CAF,Central African Republic,Africa
2016,0.903,2022,0.858,0.04500000000000004,6,False,,,0.872,2025,True,CAN,Canada,North America
1968,0.429,1974,0.181,0.248,6,True,0.48400000000000004,51.0,0.913,2025,False,CHL,Chile,South America
2012,0.637,2023,0.58,0.05700000000000005,11,False,,,0.587,2024,True,CHN,China,Asia
2016,0.684,2020,0.62,0.06400000000000006,4,True,0.019999999999999907,2.0,0.704,2022,False,CIV,Cote d'Ivoire,Africa
1991,0.6,1997,0.549,0.050999999999999934,6,True,0.19300000000000006,27.0,0.793,2024,False,CMR,Cameroon,Africa
2015,0.786,2018,0.748,0.038000000000000034,3,True,0.007000000000000006,6.0,0.793,2024,False,CMR,Cameroon,Africa
1965,0.281,1967,0.239,0.04200000000000004,2,True,0.2819999999999999,56.0,0.563,2023,False,COD,Democratic Republic of Congo,Africa
1963,0.3,1969,0.203,0.09699999999999998,6,True,0.16600000000000004,56.0,0.466,2025,False,COG,Congo,Africa
1991,0.348,1998,0.265,0.08299999999999996,7,True,0.11800000000000005,27.0,0.466,2025,False,COG,Congo,Africa
2001,0.321,2007,0.282,0.039000000000000035,6,True,0.14500000000000002,18.0,0.466,2025,False,COG,Congo,Africa
1944,0.306,1948,0.272,0.033999999999999975,4,True,0.49900000000000005,75.0,0.805,2023,False,COL,Colombia,South America
1981,0.478,1988,0.444,0.033999999999999975,7,True,0.32700000000000007,35.0,0.805,2023,False,COL,Colombia,South America
1999,0.745,2006,0.708,0.03700000000000003,7,True,0.06000000000000005,17.0,0.805,2023,False,COL,Colombia,South America
2015,0.793,2021,0.753,0.040000000000000036,6,True,0.01200000000000001,2.0,0.805,2023,False,COL,Colombia,South America
2021,0.563,2023,0.53,0.03299999999999992,2,False,,,0.556,2025,True,COM,Comoros,Africa
1957,0.65,1962,0.618,0.03200000000000003,5,True,0.29499999999999993,40.0,0.945,2002,False,CRI,Costa Rica,North America
2004,0.945,2017,0.911,0.03399999999999992,13,False,,,0.92,2022,False,CRI,Costa Rica,North America
1894,0.222,1896,0.177,0.04500000000000001,2,True,0.514,123.0,0.736,2019,False,CUB,Cuba,North America
1951,0.539,1968,0.395,0.14400000000000002,17,True,0.19699999999999995,51.0,0.736,2019,False,CUB,Cuba,North America
2019,0.736,2023,0.704,0.03200000000000003,4,False,,,0.71,2025,True,CUB,Cuba,North America
2017,0.859,2021,0.82,0.039000000000000035,4,False,,,0.856,2025,False,CYP,Cyprus,Europe
1919,0.629,1940,0.171,0.45799999999999996,21,True,0.30100000000000005,85.0,0.93,2025,False,CZE,Czechia,Europe
1947,0.562,1949,0.458,0.10400000000000004,2,True,0.368,76.0,0.93,2025,False,CZE,Czechia,Europe
1912,0.308,1917,0.277,0.030999999999999972,5,True,0.6479999999999999,102.0,0.956,2019,False,DEU,Germany,Europe
1923,0.564,1940,0.092,0.472,17,True,0.392,79.0,0.956,2019,False,DEU,Germany,Europe
1929,0.808,1943,0.685,0.123,14,True,0.1529999999999999,74.0,0.961,2017,False,DNK,Denmark,Europe
1915,0.306,1930,0.261,0.044999999999999984,15,True,0.542,90.0,0.848,2020,False,DOM,Dominican Republic,North America
1966,0.501,1972,0.458,0.04299999999999998,6,True,0.347,48.0,0.848,2020,False,DOM,Dominican Republic,North America
1981,0.649,1983,0.605,0.04400000000000004,2,True,0.19899999999999995,37.0,0.848,2020,False,DOM,Dominican Republic,North America
2020,0.848,2023,0.815,0.03300000000000003,3,False,,,0.825,2024,True,DOM,Dominican Republic,North America
1963,0.358,1965,0.324,0.033999999999999975,2,True,0.42900000000000005,51.0,0.787,2016,False,DZA,Algeria,Africa
2016,0.787,2022,0.604,0.18300000000000005,6,False,,,0.625,2024,True,DZA,Algeria,Africa
2020,0.861,2024,0.791,0.06999999999999995,4,False,,,0.791,2024,True,ECU,Ecuador,South America
1985,0.408,2006,0.356,0.05199999999999999,21,True,0.15799999999999997,18.0,0.566,2024,False,EGY,Egypt,Africa
