code,entity,region,edi,idv,gini_mkt,labsh,beta,edi_tier,idv_tier,gini_tier,labsh_tier,beta_tier
GAB,Gabon,Africa,0.302,,42.0,0.3674294673837721,0.77072912,hybrid,no_data,mid,low_labsh,low_mobility
GBR,United Kingdom,Europe,0.772,89.0,51.7,0.600969434589953,0.42950875,democratic,individualist,high_inequality,high_labsh,mid
GEO,Georgia,Asia,0.401,,45.4,0.390449575641576,0.44109866,hybrid,no_data,mid,low_labsh,mid
GHA,Ghana,Africa,0.711,,45.3,,0.58741295,democratic,no_data,mid,no_data,low_mobility
GIN,Guinea,Africa,0.187,,38.0,0.3050314492800021,0.70899206,authoritarian,no_data,low_inequality,low_labsh,low_mobility
GMB,Gambia,Africa,0.641,,42.5,,0.57291788,hybrid,no_data,mid,no_data,low_mobility
GNB,Guinea-Bissau,Africa,0.252,,41.9,,0.7179395,authoritarian,no_data,mid,no_data,low_mobility
GNQ,Equatorial Guinea,Africa,0.172,,45.1,,,authoritarian,no_data,mid,no_data,no_data
GRC,Greece,Europe,0.741,35.0,50.3,0.5096705780453878,0.25112069,democratic,mid,high_inequality,mid,high_mobility
GTM,Guatemala,North America,0.637,6.0,45.8,0.4615524455502227,0.84512728,hybrid,collectivist,mid,low_labsh,low_mobility
GUY,Guyana,South America,0.515,,49.4,,,hybrid,no_data,high_inequality,no_data,no_data
HKG,Hong Kong,Asia,0.151,25.0,46.7,0.4840586534701286,,authoritarian,collectivist,mid,mid,no_data
HND,Honduras,North America,0.511,,43.5,0.5849536734598654,0.55099291,hybrid,no_data,mid,high_labsh,low_mobility
HRV,Croatia,Europe,0.686,33.0,44.8,0.6332109254949233,0.39628386,democratic,mid,mid,high_labsh,mid
HTI,Haiti,North America,0.238,,58.7,,0.53479397,authoritarian,no_data,high_inequality,no_data,mid
HUN,Hungary,Europe,0.421,80.0,48.1,0.614301695867821,0.47115165,hybrid,individualist,high_inequality,high_labsh,mid
IDN,Indonesia,Asia,0.462,14.0,39.8,0.5075492663308977,0.38034058,hybrid,collectivist,low_inequality,mid,mid
IND,India,Asia,0.377,48.0,42.6,0.6559116502065916,0.84007704,hybrid,mid,mid,high_labsh,low_mobility
IRL,Ireland,Europe,0.887,70.0,49.0,0.5531242662990417,0.34670544,democratic,individualist,high_inequality,mid,high_mobility
