entity,code,n_points,r2,v,collapse_r2,S_hat_std,t_hat_range
Sao Tome and Principe,STP,74,0.9700596955419604,0.005,0.9442071819083175,0.4215020224977012,9.641060952802734
Suriname,SUR,74,0.9733532079747323,18.528180313697703,0.9336727949933177,0.25095057026677575,32.94061437878868
Slovakia,SVK,74,0.8917054368633264,19.999999999983384,0.7839447888349201,0.13280396597977573,8.040600015331492
Slovenia,SVN,74,0.9816691736227224,0.6865744144259185,0.9333963137753062,0.19754847329234435,3.261169673064659
Sweden,SWE,74,0.9749909271804122,5.353754201752987,0.9252148153301646,0.05266893497571529,4.5865949365736665
Eswatini,SWZ,64,0.5703107397721805,0.0050069876321545,0.18747542455841637,0.5241732522628336,68.98277156387394
Seychelles,SYC,67,0.9840843358137418,0.005,0.9683630010136876,0.35810585255144123,5.320100367983931
Syria,SYR,74,0.9542244954309752,8.091415873364856,0.11416689126008128,0.11636100827645209,14.89635343033757
Chad,TCD,74,0.9131333996848526,3.495313851070104,0.8475448765144016,0.26648611338260464,8.003893338248785
Togo,TGO,73,0.9782226837407592,0.0050000000042679,0.9607172527500639,0.26683563622471007,2.9111811297753176
Thailand,THA,74,0.9850586273011734,8.21362733341728,0.9445467036074424,0.29597154358317856,19.359885606014807
Tajikistan,TJK,74,0.879255215572746,10.673385710483714,0.15491797114871653,0.22041430269714782,31.34471461075449
Turkmenistan,TKM,71,0.5929374694727394,8.149773518987327,0.018426957324647608,0.4275726048563175,48.48334833800958
East Timor,TLS,72,0.9740876230486152,5.811201426616437,0.9650201388235192,0.4193813828573991,67.34710840271848
Trinidad and Tobago,TTO,62,0.9914276365819968,19.99999999998348,0.9627740111815983,0.10339311015306137,12.01779132366956
Tunisia,TUN,74,0.973068547045875,0.0050000000000005,0.8883959654508208,0.2536760677575771,3.0094106830520033
Turkey,TUR,74,0.9743219713400454,0.0050000000000103,0.6741168655678095,0.12626088962073756,2.6800839760921793
Taiwan,TWN,74,0.991402781146982,12.029434381830749,0.9727287692233167,0.2525833325286655,22.059622437289267
Tanzania,TZA,59,0.9869672463390904,0.0050000000000047,0.9159620411683056,0.11339666563155096,1.7685752893495412
Uganda,UGA,74,0.9636294174700956,11.484432126615449,0.9354808884545367,0.3660263048462582,42.135612491969454
Ukraine,UKR,74,0.9500560451258584,4.197965757603106,0.9471699787590792,0.3678933540711831,18.8669873057844
Uruguay,URY,74,0.8355442431521457,19.99999999999681,0.5497185217798991,0.12562219443518122,8.249245247125632
United States,USA,74,0.9928296916429614,7.46666086911403,0.9887997890882035,0.24987779484392902,16.434533842544408
Uzbekistan,UZB,74,0.9534254893627482,0.005,0.21343968393921453,0.14145433952940242,4.031045173840298
Venezuela,VEN,74,0.9649568259358388,5.38069430712,0.8311838274252479,0.22753626106615032,13.914168751276645
Vietnam,VNM,48,0.962764900730268,0.0050000000000011,0.9760590082326859,0.3790617330531833,6.5557983349583715
Vanuatu,VUT,74,0.9814460705553216,0.005,0.9764269642763624,0.4884329623307091,126.34637839964637
Yemen,YEM,33,0.8795012673707234,19.999999963349048,-0.005325878148032981,0.22632781997274312,9.561204571872505
South Africa,ZAF,74,0.9862115356417804,0.0050000000035365,0.9906316505992824,0.4671046286340667,146.0
Zambia,ZMB,74,0.975783022410916,0.005,0.9481654798150532,0.322100735756047,4.433287251490352
Zimbabwe,ZWE,74,0.9842830666710616,0.0050000000001258,0.9742875493155483,0.49055381020342126,146.0
