code,entity,n_years,year_start,year_end,S_floor,S_ceil,k,t_mid,v,R2
LVA,Latvia,72,1950,2023,-0.8597748632535551,-0.0251003699725923,0.1919427376524694,1997.9932096057996,9.91228569329285,0.9276457339241272
MAR,Morocco,74,1950,2023,-0.9479092887995554,-0.2629793667388233,0.2314951750574571,2003.843736817171,7.391557706688938,0.985002600139082
MDA,Moldova,74,1950,2023,-0.8565363068613413,-0.1039992112002871,0.1886503306404726,1998.2324695530128,9.348626888953676,0.9842816205324284
MDG,Madagascar,74,1950,2023,-0.763311674299319,-0.2414749166360801,0.0628146735486343,1972.052604415308,0.0050000000000117,0.8810190246448261
MDV,Maldives,48,1950,2023,-0.7353182229535595,-0.366841051613689,0.0316551014689242,1971.9531696349848,0.005000000000181,0.9516652988676252
MEX,Mexico,74,1950,2023,-0.8810904762844166,-0.1411667775074645,0.0801054595848383,1994.879222173677,3.142562402813048,0.994870097299586
MKD,North Macedonia,74,1950,2023,-0.942033439635238,-0.0463812427527344,0.0298918722679176,1957.5085516284375,0.610599049177183,0.9787892861407252
MLI,Mali,73,1950,2023,-0.9203981483350478,-0.321219890348919,0.1009583309993455,1959.4562986919416,0.005,0.9594886405364492
MLT,Malta,64,1959,2023,-0.5766687628227215,-0.049240151588436,0.0308451052324186,1967.069254075261,0.005,0.9769974067584942
MMR,Myanmar,74,1950,2023,-0.7452589519553755,-0.5294343449527689,1.4765497541865442,2009.6316351152248,0.0050000009391849,0.4769182693320049
MNE,Montenegro,19,1998,2023,-0.8208965350478908,-0.0839102582978225,0.0849449052539658,1992.2967775927111,1.146192856553428,0.99798537049752
MNG,Mongolia,74,1950,2023,-1.0913959476270934,-0.1564826525014548,0.2939196684247452,1995.879883843257,19.9999999999997,0.9397031300553378
MOZ,Mozambique,74,1950,2023,-1.0244402179145742,-0.2453723250068512,1.1546465640307333,1992.173824732036,19.999999999999996,0.986993319287441
MRT,Mauritania,74,1950,2023,-0.994702534083137,-0.3674284200412389,0.4192325686432889,2006.955671325864,20.0,0.9540720530371284
MUS,Mauritius,74,1950,2023,-0.6111477748322109,-0.1782876778329319,0.0661194930514488,1973.12186116996,0.5229795376620439,0.9819736257691128
