code,entity,year_start,year_end,n_years,S_now,S_range,log_R2,log_floor,log_ceil,log_k,log_tmid,ric_R2,ric_floor,ric_ceil,ric_k,ric_tmid,ric_v,dR2,status
QAT,Qatar,1900,2025,91,-0.612,0.33899999999999997,0.9799945679692876,-0.946002745692688,-0.6661003564650139,0.107619998590789,1986.9352557287264,0.9801190211454925,-0.9446437954881868,-0.6594309576644017,0.07885624834651574,1982.0045433875982,0.2988618836933647,0.00012445317620490837,ok
ROU,Romania,1860,2025,128,-0.128,0.619,0.9561155464635308,-0.7732467790890539,-0.004041857074259899,0.0402676693490764,1978.2100170872718,0.9562202712136871,-0.7590497156903016,-1.5213889045665654e-19,0.036527631041093515,1975.5701224425447,0.6717732837213705,0.00010472475015632643,ok
RUS,Russia,1789,2025,225,-0.45399999999999996,0.567,0.9638580856012768,-0.842387640574225,-0.20132929102191197,0.0314138507052819,1969.455136241953,0.971743546269128,-0.8852896801291776,-0.3242886028289766,0.21216715776958392,1987.8785004423426,13.606834107160449,0.007885460667851119,ok
RWA,Rwanda,1916,2025,110,-0.374,0.6849999999999999,0.9386690943224696,-0.8365366090575586,-0.16134431128087198,0.08341196738195927,1985.293789796605,0.9592820571897831,-0.9644077913482487,-0.20927092168378778,0.5795460794560667,1998.7859398824037,19.99999999999626,0.02061296286731351,ok
SAU,Saudi Arabia,1789,2025,166,-0.653,0.32999999999999996,0.9635492599677327,-0.9622884297647706,-0.5201539753965991,0.1439124721640728,2017.2881224212433,0.9639332967313411,-0.9623793189913338,-0.6182108127109165,0.38276171797589836,2017.7105168638043,3.8620133700712134,0.00038403676360843075,ok
SDN,Sudan,1821,2025,173,-0.781,0.3360000000000001,0.7009500843803653,-0.8819263563264139,-0.703005837661332,0.08037551650778776,1977.6120064439244,0.7135955467704675,-0.8818265913500445,-0.6889256312711163,0.04685464559154585,1970.2561114989617,0.005000000162285833,0.012645462390102225,ok
SEN,Senegal,1904,2025,122,-0.14500000000000002,0.636,0.9749649428885938,-0.7790260941610366,-0.21237144840015318,0.15102463959398416,1963.9823855600414,0.9802041709947026,-0.7707261135797249,-0.20233826059745477,0.10468132594290563,1960.4720327068867,0.005000000000000001,0.005239228106108773,ok
SGP,Singapore,1900,2025,124,-0.21499999999999997,0.6429999999999999,0.9455863532259132,-0.7726652841067616,-0.19414404565183385,0.07276570449480098,1973.5936894570305,0.954969150678341,-0.755862060488285,-0.1798312476250268,0.0525765515314276,1966.6964106768273,0.005000000000000001,0.00938279745242776,ok
SLB,Solomon Islands,1900,2025,126,-0.32499999999999996,0.4680000000000001,0.913985365932516,-0.7775958379724499,-3.2038997862748425e-17,0.03973806638456875,2028.2902350827346,0.9303878941818917,-0.7850105429222122,-1.1505851233381707e-11,0.23602248550064134,2038.5804910541126,7.892894513508795,0.016402528249375714,ok
SLE,Sierra Leone,1900,2025,82,-0.19899999999999995,0.693,0.9676692887344385,-0.8233287275053209,-0.1773477549928574,0.16428501046343885,2000.0668127868512,0.9765530167451655,-0.8428275080832907,-0.217668822870472,0.4378196779741566,2003.990555090008,5.380442636546971,0.00888372801072701,ok
SLV,El Salvador,1900,2025,126,-0.41300000000000003,0.6880000000000001,0.9675668004210686,-0.8901680708242639,-0.2769441435878347,0.1171831123710428,1987.0344266507207,0.977307014882664,-0.9088030605475022,-0.30952979989539925,0.4218091891476023,1994.2424285163602,7.303591668614669,0.009740214461595453,ok
SOM,Somalia,1900,2025,126,-0.663,0.30400000000000005,0.700653453112771,-0.8975153062978021,-3.897588335263484e-33,0.08412591333743095,2033.4442739947635,0.7087574712157169,-0.906037663120561,-0.007237734323172804,0.23790646177796146,2039.9264161678848,4.424348584456998,0.00810401810294581,ok
SRB,Serbia,1789,2025,195,-0.136,0.838,0.9230471447768037,-0.803875187139142,-0.06963526993445325,0.04336165668288377,1970.862447619801,0.9233036900705288,-0.7952821495620263,-0.020814913811351147,0.030906225288989276,1964.5662513202178,0.23558712161444595,0.0002565452937250967,ok
SSD,South Sudan,1821,2025,173,-0.524,0.42500000000000004,0.8610622055137926,-0.8789122098299196,-6.981404369947554e-22,0.049017719040095886,2031.0478005472519,0.8611297018341807,-0.8792218086159415,-3.4576741577458436e-20,0.055310307895691684,2031.7275508132557,1.1979432923782973,6.749632038804965e-05,ok
STP,Sao Tome and Principe,1900,2025,126,-0.15700000000000003,0.61,0.9657711617598752,-0.7515141219389988,-0.1988141696782287,0.186430123241683,1977.4243641519918,0.9700596955419605,-0.7466982354976593,-0.1900029842743798,0.13206932812058544,1974.516122051136,0.005000000000000001,0.004288533782085269,ok
SUR,Suriname,1900,2025,126,-0.123,0.46299999999999997,0.9643717684741737,-0.576655576134975,-0.07410311253016061,0.05514711044905112,1982.608255583137,0.9733532079747323,-0.6399256979617318,-0.15318189095981738,0.4512412928601189,1995.384714408815,18.528180313697703,0.00898143950055863,ok
SVK,Slovakia,1789,2025,185,-0.122,0.796,0.8747961492311747,-0.953411194970456,-1.1094483087114572e-13,0.018459438157038714,1941.5659080600112,0.8917054368633264,-1.2368250760458321,-7.005361872599877e-23,0.11014520568947252,2008.1971870436034,19.999999999983384,0.016909287632151715,ok
SVN,Slovenia,1804,2025,161,-0.06000000000000005,0.7679999999999999,0.9814606577822576,-0.8153914101535734,-2.1196503196671334e-23,0.04935103647517353,1971.000424879758,0.9816691736227223,-0.812847982103288,-4.5885148317815875e-23,0.04467355716526939,1967.8229481679907,0.6865744144259185,0.00020851584046477356,ok
SWE,Sweden,1900,2025,126,-0.07699999999999996,0.43299999999999994,0.9746064512397995,-0.6197410800656278,-0.037359177989825985,0.04739983602444176,1929.133134404618,0.9749909271804122,-0.9739999999999975,-0.04395879899969835,0.06283006762429688,1931.302172435028,5.353754201752987,0.0003844759406127496,ok
SWZ,Eswatini,1900,2025,126,-0.609,0.15100000000000002,0.5688469109555783,-0.7199858371447394,-0.6566201462958331,1.1829199164681445,1974.8067084396907,0.5703107397721805,-0.7200092277347091,-0.6566999605510048,0.9449694734777251,1974.1067852903811,0.005006987632154556,0.0014638288166022306,ok
SYC,Seychelles,1903,2025,116,-0.09199999999999997,0.511,0.9820846930541705,-0.6050898891240852,-0.140245061812552,0.11230838728937438,1982.2661447064456,0.9840843358137418,-0.5992914230139701,-0.11754457703339544,0.07287808723265664,1977.801679765832,0.005000000000000005,0.0019996427595713184,ok
SYR,Syria,1789,2025,233,-0.71,0.3869999999999999,0.9475963270155117,-0.9259149415435345,-0.6091353215617038,0.06004701068853937,1930.785007124586,0.9542244954309753,-0.9437747453600072,-0.6186730657104978,0.2040596360320215,1948.0299496626678,8.091415873364856,0.006628168415463653,ok
TCD,Chad,1920,2025,106,-0.375,0.45100000000000007,0.9123930060847978,-0.844247904856589,-0.266933261275432,0.0462319077084149,2001.1038047901836,0.9131333996848526,-0.8595639012253545,-0.39761092482825167,0.1096423744965587,2000.1779381233628,3.4953138510701036,0.000740393600054845,ok
TGO,Togo,1916,2025,109,-0.30800000000000005,0.634,0.9768562247725011,-0.8750417276156306,-0.19069582746916328,0.06628856550332028,1983.1461146165632,0.9782226837407592,-0.8546592625006325,-0.11672697566249907,0.03987919355856606,1977.7923093521078,0.00500000000426796,0.0013664589682580441,ok
THA,Thailand,1789,2025,237,-0.31200000000000006,0.648,0.9727587946199959,-0.8354982760993019,-0.21041560981022384,0.06276466887365267,1971.4993785095908,0.9850586273011734,-0.8518195320107328,-0.2611617624506797,0.2652039124111617,1984.2136372953137,8.21362733341728,0.012299832681177514,ok
