entity,n_points,S_floor,S_ceil,k,t_mid,v,R2,status
North America,185,-0.8233924992865477,-0.0752488112474048,0.11181223519495809,1985.9586215990907,2.533929174869606,0.9918005242471157,ok
North America (population-weighted),126,-1.222890608140735,-0.036432268058305246,0.21298502635563826,1993.6433005318572,18.95987786552367,0.9878163258138255,ok
North Korea,203,-0.956576962633323,-0.24507055714822829,0.09394028671673284,1942.3413292430012,0.005000000000000002,0.9878822567069903,ok
North Macedonia,235,-0.9462462876989796,0.48699999999951804,0.01735037879844534,1977.5238367527102,0.005000000000000035,0.953880849295481,ok
Norway,151,-0.668900700105291,-0.00045906684393571845,0.42258855066135875,1969.5248247088286,19.99999999999968,0.96145403646435,ok
Oceania,126,-0.7396278190430225,-0.2928871035434037,0.05823686170656652,1980.8758487472107,0.38889710113851866,0.9857296924821012,ok
Oceania (population-weighted),125,-0.7401838475944664,-0.18086539166567508,0.17115338891905812,1979.3437749099705,2.6575813303284916,0.9944780470696225,ok
Pakistan,145,-0.5659032738867307,-0.3931710901115321,0.9999999999999999,1985.5290892792252,0.005000000000000001,0.9150506400893476,ok
Palestine/Gaza,23,-0.9160258827881361,-0.7124999999999999,0.8893581782502722,1984.2521558002284,2.5154980827138496,0.2397783960711496,ok
Palestine/West Bank,61,-0.6447832579314068,-0.4417130860705798,0.9999999745114067,1992.359953041611,19.99449547515865,0.16354176511073704,ok
Panama,123,-0.6978282010939755,-0.16703042752809652,0.2670497817856587,1989.763135446882,0.005000000000000001,0.9518976547295467,ok
Papua New Guinea,126,-0.8572152360387468,-0.7047929996962287,0.9999999999999999,1974.282198612455,0.0050000000000000044,0.9247711164306816,ok
Paraguay,149,-0.8915276016564422,-0.2933452451127492,0.999999997486351,2005.8843743967861,11.902227454152246,0.9551479248361752,ok
Peru,129,-0.8101028689091315,-0.02507754096779303,0.15695200598053238,1989.932367328341,1.45702640448742,0.9759409436286379,ok
Philippines,123,-0.8567146357562889,-0.032454158834370875,0.36360627532073064,1996.4666630636,19.999999999999545,0.9258743356383693,ok
Poland,142,-0.9256484445462105,0.07868555467615246,0.022245449289262174,1917.436936904521,0.005000000000000001,0.9808403159853992,ok
Portugal,157,-0.8519377147173478,-0.09488966925555731,0.4584240622965114,1973.8344397505623,0.005000000000000001,0.9563717389512515,ok
Romania,199,-0.9448642725733529,-0.12044777409167694,0.9999999999999999,1946.1421947676354,0.17211430370784717,0.984889827512101,ok
Russia,225,-0.8519169922094079,-0.23614360307280066,0.3649849079124471,1944.0304842805388,7.63852545677497,0.9267892383145284,ok
Rwanda,110,-0.7908032116493453,0.00026405628477274193,0.8020599878909749,1998.4215825939311,15.717671555367916,0.9746572861147748,ok
Sao Tome and Principe,126,-0.6858346986436329,-0.1582814328006418,0.9999999999972817,1974.0807422451594,0.005000000005151361,0.9584512458770331,ok
Saudi Arabia,153,-0.945636363505581,-0.903100000432661,0.6050093240590445,1969.6681191131688,1.3240044030517932,0.22347903656557722,ok
Senegal,122,-0.9373115296767559,-0.029898131561884825,0.06721807432177315,1961.684593816628,0.005000000000000001,0.977644120364729,ok
Serbia,195,-0.8451749904008553,0.4550316688364169,0.018836221363010136,1985.0649715358966,0.005000000000000001,0.9252814082954871,ok
Seychelles,116,-0.6447688153350132,-0.09203316303860246,0.9999999999999999,1978.1737878694855,1.813843547782412,0.964287018785109,ok
Sierra Leone,82,-0.8111966110349781,-0.13621371705627644,0.5473075553673191,2002.5967917931148,8.453038505252877,0.9783069435062058,ok
Singapore,124,-0.761573078164975,-0.05780505114207917,0.9999999998463323,2005.4223394284165,19.554474580913332,0.9475882700751197,ok
Slovakia,185,-0.9869586294616296,-0.12256518755073949,0.2676718805423,1958.8468737923183,14.963574170805071,0.9465163525322433,ok
Slovenia,161,-0.7943999965355225,0.0845792136187524,0.038035696615301325,1967.7427876203533,0.005000000000000299,0.9778531560477811,ok
Solomon Islands,119,-0.7372527544624754,-0.6820521752404707,0.07538471733070647,1997.2163422423316,0.005000000000000001,0.8031665502591591,ok
Somalia,120,-0.9085866603526621,-0.44520627127629764,0.9999999999991316,2019.9120273063938,14.749321865156569,0.7078260599326862,ok
Somaliland,95,-0.9290000213970335,-0.7564857144255344,0.8953046535928207,1966.0419549430183,0.5674922647811502,0.8931755865321284,ok
South Africa,123,-0.7269907360362672,-0.009681206342355265,0.9999999999999999,1993.1079012507369,0.005000000000196673,0.9413068299492456,ok
South America,154,-0.90401280639995,-0.06181678873115939,0.2984908739185866,2000.8372164242076,9.470595274479892,0.9913877935611373,ok
South America (population-weighted),126,-0.9272363370634005,-0.1149807376341752,0.5659537727004138,2000.6122341966081,19.99999999999626,0.9657158566264581,ok
South Korea,237,-0.9817472079475623,-0.10133110508405935,0.4567539869114961,2001.3507022537353,19.999999990007193,0.9775187362822381,ok
South Sudan,171,-0.8588457130871525,-0.22839838244244287,0.9999999999991527,2009.6224960758227,12.675285930756852,0.937026332337589,ok
Spain,149,-0.8493306458292698,-0.0073044257732265945,0.3012383999097261,1988.199637857827,5.113007117930445,0.9566696354243035,ok
Sri Lanka,126,-0.8414901185391332,-0.39964808557307563,0.4144027499481628,1959.7459172941337,4.395694669851966,0.9679599167417309,ok
Sudan,166,-0.8616222203373042,-0.598,0.9999999998334029,2000.03938011126,16.079221318667326,0.5414105602295474,ok
Suriname,126,-0.9095335442680492,-0.06952422868980775,0.4801252605352381,1996.922513324963,19.99999999999479,0.9597515112519149,ok
Sweden,126,-0.6392295817938921,0.0028959289597350036,0.10035289984251107,1948.8820533027786,1.9464970633406213,0.9913616584753862,ok
Switzerland,171,-0.7054863455091269,-0.020423994749386172,0.1396572197304726,1971.3154710229237,0.005000000000000001,0.9867589099081964,ok
Syria,233,-0.9345018907974979,-0.6390732627278269,0.10429243799475331,1965.3150035391802,1.0302591474879599,0.8568325782331871,ok
Taiwan,232,-0.8108011089624494,0.16385397234512347,0.03456969696980211,1969.198657347688,0.0050000000000003115,0.9810406619402652,ok
Tajikistan,146,-0.8958465954064914,-0.33686635258436887,0.7927986993296359,1941.651226080878,19.99999999972928,0.611944482680034,ok
Tanzania,73,-0.9525661099875239,0.12332746880986879,0.03090143989190817,1951.3086968320993,0.0050000000000004746,0.9896480105585421,ok
Thailand,232,-0.9132875601150786,-0.1202007351003667,0.7193343433563278,1995.0500149826582,18.185877296274022,0.9804046689310055,ok
Togo,109,-0.8174358760154732,0.4749999999999999,0.02505940769425354,2000.3072490358913,0.11989643341424844,0.9677098843934107,ok
Trinidad and Tobago,110,-1.0421484017310518,0.010364275856675131,0.08059595800230566,1976.0942379116632,2.9556514641815057,0.9856771213980975,ok
Tunisia,220,-0.9602844644781474,-0.2678484403045748,0.460753173808073,1988.086078412586,7.559568597417468,0.9795722611692854,ok
Turkey,235,-0.9491599884765588,-0.09104370943193985,0.021290669063558483,1953.2888465550227,0.005000000000000106,0.9531258666683392,ok
Turkmenistan,118,-1.1181276035719976,-0.251573063769728,0.4308980768997909,1945.020100003435,19.99999964230547,0.7056620512028555,ok
Tuscany,67,-1.272345140472869,-0.7504999999999998,0.0010000000000000002,1910.9999999999998,19.999999999999996,-0.004269319761436741,ok
Uganda,126,-0.9297509129842464,-0.02828990725555238,0.4754522484516925,1995.735186018289,12.23195790836772,0.9690219125118177,ok
Ukraine,80,-0.9559846433323843,0.11222027069430232,0.006119503971789874,2031.529382058251,6.777131601055442,0.01602060415715023,ok
United Arab Emirates,55,-0.9373771738353621,0.4709999999999178,0.07683697619007115,2013.1953167566405,0.048830955871448055,0.9465162926182228,ok
United Kingdom,126,-0.8226683098828431,0.10369301315420859,0.03861612705535549,1970.045051137929,0.46176028587818985,0.9661754125995127,ok
United States,126,-1.2767496179300168,-0.028035013592655936,0.21572852438169984,1988.1722149157051,19.999999999797136,0.9827198051495374,ok
Uruguay,131,-1.121060465981699,0.059586839745892795,0.2037539643844059,2014.7677097709136,19.99999999841119,0.8746223531728962,ok
Uzbekistan,225,-0.9122036301919768,-0.167879771377605,0.08454438954893286,1926.8949750216154,0.02056746186407104,0.9573223835315856,ok
Vanuatu,126,-0.5923821992090371,-0.40618659792407946,0.2690955477623959,1980.4945568139813,0.005000000000000063,0.9113858847846196,ok
Venezuela,157,-0.9324807455805101,0.20888513539505865,0.03490133180791175,1977.153443944548,0.005000000000116009,0.9668441495862384,ok
Vietnam,50,-0.06835914647124725,0.28625494636923143,0.46676148446581756,2046.6631930910864,5.238579456404853,0.1552683051717465,ok
West Germany,42,-0.3388711980629077,0.43179087255840015,0.618237138022522,2005.531380451626,11.524686766877375,0.8580286089944266,ok
World,237,-0.8636098079383467,-0.025775998332138634,0.04641929982517997,1985.7347350640018,1.1483842410231466,0.9983228614716882,ok
World (population-weighted),205,-0.8115583544153023,-0.15224959442177466,0.04745756644571338,1954.9291521115279,0.4934098571609882,0.986638600542046,ok
Yemen,162,-0.9214803149279496,-0.8142285715927001,0.7660400203632974,1966.1140555067018,0.9951941873767455,0.6283327534450656,ok
Yemen Arab Republic,73,-0.9551758730323607,-0.8369999999999999,0.07780611486100042,1957.25216930717,0.005000000000001914,0.8222133211743659,ok
Yemen People's Republic,91,-0.9114039054227502,-0.2647616722177156,0.14453397552664018,1967.31130392541,0.0050000000038305835,0.9785485376346044,ok
Zambia,115,-0.9081060602285369,-0.14393998852436152,0.050270596577265486,1973.0303860026856,0.0050000000000000044,0.961365112495547,ok
Zimbabwe,126,-0.8904070283245934,-0.1398577162647009,0.1509101908801258,1980.7943729248907,0.005000000000000001,0.9687527527797615,ok
